2025-08-12_20-02-44,None,Shell.java:2025-08-12_20-02-44
2025-08-12_20-21-19,None,Animal.java:2025-08-12_20-21-19;Shell.java:2025-08-12_20-21-19
2025-08-12_20-21-21,None,Animal.java:2025-08-12_20-21-19;Shell.java:2025-08-12_20-21-19
2025-08-12_20-21-29,None,Animal.java:2025-08-12_20-21-19;Shell.java:2025-08-12_20-21-29
2025-08-12_20-21-30,None,Animal.java:2025-08-12_20-21-19;Shell.java:2025-08-12_20-21-29
2025-08-12_20-21-47,None,Shell.java:2025-08-12_20-21-29;Animal.java:2025-08-12_20-21-19
2025-08-12_20-23-06,None,Shell.java:2025-08-12_20-21-29;Animal.java:2025-08-12_20-23-06
2025-08-12_20-23-11,None,Shell.java:2025-08-12_20-21-29;Animal.java:2025-08-12_20-23-06
2025-08-12_20-23-18,None,Shell.java:2025-08-12_20-21-29;Animal.java:2025-08-12_20-23-18
2025-08-12_20-23-20,None,Shell.java:2025-08-12_20-21-29;Animal.java:2025-08-12_20-23-18
2025-08-12_20-23-25,None,Shell.java:2025-08-12_20-21-29;Animal.java:2025-08-12_20-23-25
2025-08-12_20-23-32,None,Shell.java:2025-08-12_20-21-29;Animal.java:2025-08-12_20-23-32
2025-08-12_20-23-40,None,Shell.java:2025-08-12_20-21-29;Animal.java:2025-08-12_20-23-40
2025-08-12_20-24-42,None,Shell.java:2025-08-12_20-21-29;Animal.java:2025-08-12_20-24-42
2025-08-12_20-25-05,None,Shell.java:2025-08-12_20-21-29;Animal.java:2025-08-12_20-25-05
2025-08-12_20-25-44,None,Shell.java:2025-08-12_20-21-29;Animal.java:2025-08-12_20-25-44
2025-08-12_20-25-52,None,Shell.java:2025-08-12_20-21-29;Animal.java:2025-08-12_20-25-52
2025-08-12_20-26-14,None,Shell.java:2025-08-12_20-21-29;Animal.java:2025-08-12_20-26-14
